nom produit,numero AMM,Substances actives,identifiant usage,etat usage,dose retenue,dose retenue unite,delai avant recolte jour
VELOURS,2220168,soufre (Sulphur) 700.0 g/L,Orge*Trt Part.Aer.*Helminthosporiose et ramulariose,Autorisé,6.0,L/ha,
VELOURS,2220168,soufre (Sulphur) 700.0 g/L,Orge*Trt Part.Aer.*Rhynchosporiose,Autorisé,6.0,L/ha,
VELOURS,2220168,soufre (Sulphur) 700.0 g/L,Blé*Trt Part.Aer.*Septoriose(s),Autorisé,6.0,L/ha,
ZONOR,2200521,tébuconazole (Tebuconazole) 250.0 g/L,Orge*Trt Part.Aer.*Oïdium(s),Autorisé,1.0,L/ha,
ZONOR,2200521,tébuconazole (Tebuconazole) 250.0 g/L,Orge*Trt Part.Aer.*Rouille(s),Autorisé,1.0,L/ha,
ZONOR,2200521,tébuconazole (Tebuconazole) 250.0 g/L,Orge*Trt Part.Aer.*Fusarioses,Autorisé,1.0,L/ha,
ZONOR,2200521,tébuconazole (Tebuconazole) 250.0 g/L,Blé*Trt Part.Aer.*Fusarioses,Autorisé,1.0,L/ha,
ZONOR,2200521,tébuconazole (Tebuconazole) 250.0 g/L,Blé*Trt Part.Aer.*Oïdium(s),Autorisé,1.0,L/ha,
ZONOR,2200521,tébuconazole (Tebuconazole) 250.0 g/L,Blé*Trt Part.Aer.*Rouille(s),Autorisé,1.0,L/ha,
TRACIAFIN PLUS,2190882,prothioconazole (Prothioconazole) 250.0 g/L,Orge*Trt Part.Aer.*Oïdium(s),Autorisé,0.8,L/ha,35.0
TRACIAFIN PLUS,2190882,prothioconazole (Prothioconazole) 250.0 g/L,Orge*Trt Part.Aer.*Rouille(s),Autorisé,0.8,L/ha,35.0
TRACIAFIN PLUS,2190882,prothioconazole (Prothioconazole) 250.0 g/L,Orge*Trt Part.Aer.*Piétin verse,Autorisé,0.8,L/ha,35.0
TRACIAFIN PLUS,2190882,prothioconazole (Prothioconazole) 250.0 g/L,Orge*Trt Part.Aer.*Helminthosporiose et ramulariose,Autorisé,0.8,L/ha,35.0
TRACIAFIN PLUS,2190882,prothioconazole (Prothioconazole) 250.0 g/L,Orge*Trt Part.Aer.*Rhynchosporiose,Autorisé,0.8,L/ha,35.0
TRACIAFIN PLUS,2190882,prothioconazole (Prothioconazole) 250.0 g/L,Orge*Trt Part.Aer.*Fusarioses,Autorisé,0.8,L/ha,35.0
TRACIAFIN PLUS,2190882,prothioconazole (Prothioconazole) 250.0 g/L,Blé*Trt Part.Aer.*Fusarioses,Autorisé,0.8,L/ha,35.0
TRACIAFIN PLUS,2190882,prothioconazole (Prothioconazole) 250.0 g/L,Blé*Trt Part.Aer.*Oïdium(s),Autorisé,0.8,L/ha,35.0
TRACIAFIN PLUS,2190882,prothioconazole (Prothioconazole) 250.0 g/L,Blé*Trt Part.Aer.*Piétin verse,Autorisé,0.8,L/ha,35.0
TRACIAFIN PLUS,2190882,prothioconazole (Prothioconazole) 250.0 g/L,Blé*Trt Part.Aer.*Rouille(s),Autorisé,0.8,L/ha,35.0
TRACIAFIN PLUS,2190882,prothioconazole (Prothioconazole) 250.0 g/L,Blé*Trt Part.Aer.*Septoriose(s),Autorisé,0.8,L/ha,35.0
ARCHIPEL DUO,2140258,mésosulfuron-méthyl (Mesosulfuron) 7.5 g/L | iodosulfuron-méthyl-sodium (Iodosulfuron) 7.5 g/L | méfenpyr-diéthyl (Mefenpyr) 22.5 g/L,Blé*Désherbage,Autorisé,1.0,L/ha,
VISUL WG,2190652,soufre (Sulphur) 800.0 g/kg,Orge*Trt Part.Aer.*Oïdium(s),Autorisé,10.0,kg/ha,3.0
VISUL WG,2190652,soufre (Sulphur) 800.0 g/kg,Blé*Trt Part.Aer.*Oïdium(s),Autorisé,10.0,kg/ha,3.0
TENSTAR,2200063,tébuconazole (Tebuconazole) 250.0 g/L,Orge*Trt Part.Aer.*Rouille(s),Autorisé,1.0,L/ha,
TENSTAR,2200063,tébuconazole (Tebuconazole) 250.0 g/L,Orge*Trt Part.Aer.*Oïdium(s),Autorisé,1.0,L/ha,
TENSTAR,2200063,tébuconazole (Tebuconazole) 250.0 g/L,Blé*Trt Part.Aer.*Fusarioses,Autorisé,1.0,L/ha,
TENSTAR,2200063,tébuconazole (Tebuconazole) 250.0 g/L,Blé*Trt Part.Aer.*Oïdium(s),Autorisé,1.0,L/ha,
TENSTAR,2200063,tébuconazole (Tebuconazole) 250.0 g/L,Blé*Trt Part.Aer.*Rouille(s),Autorisé,1.0,L/ha,
BOBINO,2220666,phosphonates de potassium (Potassium phosphonates) 755.0 g/L,Blé*Trt Part.Aer.*Septoriose(s),Autorisé,4.0,L/ha,
CITOYEN,2220667,phosphonates de potassium (Potassium phosphonates) 755.0 g/L,Blé*Trt Part.Aer.*Septoriose(s),Autorisé,4.0,L/ha,
TAMPRESAN,2220670,phosphonates de potassium (Potassium phosphonates) 755.0 g/L,Blé*Trt Part.Aer.*Septoriose(s),Autorisé,4.0,L/ha,
ATLANTIS PRO,2140257,iodosulfuron-méthyl-sodium (Iodosulfuron) 2.0 g/L | mésosulfuron-méthyl (Mesosulfuron) 10.0 g/L | méfenpyr-diéthyl (Mefenpyr) 30.0 g/L,Blé*Désherbage,Autorisé,1.5,L/ha,
ATLANTIS PRO,2140257,iodosulfuron-méthyl-sodium (Iodosulfuron) 2.0 g/L | mésosulfuron-méthyl (Mesosulfuron) 10.0 g/L | méfenpyr-diéthyl (Mefenpyr) 30.0 g/L,Blé*Désherbage,Autorisé,1.0,L/ha,
DECIS PROTECH,2010023,deltaméthrine (Deltamethrin) 15.0 g/L,Maïs doux*Trt Part.Aer.*Chenilles phytophages,Autorisé,0.5,L/ha,3.0
DECIS PROTECH,2010023,deltaméthrine (Deltamethrin) 15.0 g/L,"Maïs doux*Trt Part.Aer.*Cicadelles, punaises et psylles",Autorisé,0.83,L/ha,3.0
DECIS PROTECH,2010023,deltaméthrine (Deltamethrin) 15.0 g/L,Maïs doux*Trt Part.Aer.*Coléoptères phytophages,Autorisé,0.33,L/ha,3.0
